@relation netflix
@attribute 'horames' real
@attribute 'cantidadPagos' real
@attribute 'region' {'NA', 'CA', 'SA'}
@attribute 'edad' real
@attribute 'dispositivo' {TV,TABLET,SMARTPHONE,CONSOLAS, PC}
@attribute 'class' { no_contrata, contrata}
@data
0, 1, 'CA', 48, CONSOLAS, 'no_contrata'
120, 5, 'CA', 41, SMARTPHONE, 'no_contrata'
30, 4, 'SA', 66, CONSOLAS, 'no_contrata'
30, 12, 'CA', 43, CONSOLAS, 'no_contrata'
240, 2, 'SA', 65, TABLET, 'no_contrata'
150, 3, 'SA', 34, SMARTPHONE, 'no_contrata'
150, 10, 'CA', 32, SMARTPHONE, 'no_contrata'
240, 2, 'SA', 40, CONSOLAS, 'no_contrata'
210, 5, 'SA', 16, SMARTPHONE, 'contrata'
30, 12, 'SA', 42, TV, 'no_contrata'
240, 11, 'NA', 16, TV, 'no_contrata'
90, 2, 'CA', 61, TV, 'no_contrata'
330, 6, 'NA', 20, CONSOLAS, 'no_contrata'
300, 6, 'CA', 64, TV, 'no_contrata'
180, 11, 'CA', 20, SMARTPHONE, 'no_contrata'
90, 5, 'SA', 69, CONSOLAS, 'no_contrata'
180, 7, 'SA', 64, TABLET, 'contrata'
330, 11, 'CA', 34, TABLET, 'no_contrata'
60, 12, 'SA', 32, TV, 'no_contrata'
90, 2, 'CA', 57, TV, 'no_contrata'
180, 2, 'SA', 67, SMARTPHONE, 'no_contrata'
150, 2, 'NA', 46, SMARTPHONE, 'no_contrata'
240, 8, 'SA', 45, TV, 'no_contrata'
30, 4, 'CA', 37, CONSOLAS, 'no_contrata'
330, 12, 'SA', 42, SMARTPHONE, 'contrata'
90, 6, 'NA', 13, TV, 'no_contrata'
300, 8, 'CA', 20, TABLET, 'no_contrata'
90, 3, 'NA', 45, SMARTPHONE, 'no_contrata'
120, 10, 'CA', 19, TV, 'no_contrata'
300, 3, 'NA', 25, SMARTPHONE, 'no_contrata'
210, 8, 'SA', 41, SMARTPHONE, 'contrata'
210, 8, 'NA', 52, TV, 'no_contrata'
90, 11, 'SA', 49, TABLET, 'no_contrata'
60, 5, 'NA', 54, CONSOLAS, 'no_contrata'
300, 10, 'SA', 53, TABLET, 'contrata'
