@relation netflix
@attribute 'horames' real
@attribute 'cantidadPagos' real
@attribute 'region' {'NA', 'CA', 'SA'}
@attribute 'edad' real
@attribute 'dispositivo' {TV,TABLET,SMARTPHONE,CONSOLAS, PC}
@attribute 'class' { no_contrata, contrata}
@data
300, 11, 'SA', 13, SMARTPHONE, 'contrata'
120, 1, 'CA', 65, TABLET, 'no_contrata'
150, 4, 'SA', 38, SMARTPHONE, 'contrata'
150, 12, 'SA', 62, TV, 'no_contrata'
330, 6, 'SA', 71, CONSOLAS, 'no_contrata'
270, 12, 'NA', 27, TV, 'no_contrata'
0, 3, 'NA', 31, TV, 'no_contrata'
120, 2, 'NA', 31, TABLET, 'no_contrata'
90, 11, 'SA', 42, TV, 'no_contrata'
210, 9, 'NA', 66, SMARTPHONE, 'contrata'
300, 3, 'NA', 51, SMARTPHONE, 'no_contrata'
330, 1, 'SA', 58, CONSOLAS, 'no_contrata'
30, 8, 'SA', 21, SMARTPHONE, 'no_contrata'
30, 8, 'SA', 65, SMARTPHONE, 'no_contrata'
270, 5, 'SA', 20, TV, 'no_contrata'
210, 7, 'SA', 46, TV, 'no_contrata'
180, 10, 'CA', 43, CONSOLAS, 'no_contrata'
330, 12, 'CA', 40, TABLET, 'no_contrata'
30, 10, 'CA', 38, TV, 'no_contrata'
30, 2, 'SA', 57, TABLET, 'no_contrata'
0, 6, 'NA', 14, SMARTPHONE, 'no_contrata'
330, 7, 'CA', 40, TV, 'no_contrata'
210, 3, 'NA', 21, TABLET, 'no_contrata'
60, 3, 'CA', 61, TABLET, 'no_contrata'
210, 4, 'NA', 18, TV, 'no_contrata'
240, 9, 'CA', 57, TABLET, 'no_contrata'
240, 9, 'CA', 65, SMARTPHONE, 'no_contrata'
240, 11, 'NA', 70, SMARTPHONE, 'contrata'
330, 10, 'SA', 69, CONSOLAS, 'no_contrata'
330, 11, 'NA', 41, CONSOLAS, 'no_contrata'
0, 2, 'SA', 42, TABLET, 'no_contrata'
120, 10, 'SA', 13, SMARTPHONE, 'no_contrata'
90, 4, 'NA', 21, TV, 'no_contrata'
180, 6, 'SA', 33, CONSOLAS, 'no_contrata'
210, 2, 'NA', 14, SMARTPHONE, 'no_contrata'
240, 1, 'SA', 47, SMARTPHONE, 'no_contrata'
210, 5, 'SA', 30, TABLET, 'contrata'
330, 6, 'SA', 62, SMARTPHONE, 'contrata'
0, 7, 'NA', 55, SMARTPHONE, 'no_contrata'
120, 8, 'CA', 52, SMARTPHONE, 'no_contrata'
90, 3, 'NA', 58, TABLET, 'no_contrata'
30, 9, 'SA', 25, CONSOLAS, 'no_contrata'
240, 3, 'CA', 71, SMARTPHONE, 'no_contrata'
90, 12, 'NA', 45, CONSOLAS, 'no_contrata'
90, 3, 'CA', 24, SMARTPHONE, 'no_contrata'
90, 3, 'NA', 16, TV, 'no_contrata'
60, 8, 'CA', 55, SMARTPHONE, 'no_contrata'
240, 4, 'SA', 48, CONSOLAS, 'no_contrata'
300, 7, 'CA', 31, CONSOLAS, 'no_contrata'
180, 6, 'SA', 24, TABLET, 'contrata'
150, 3, 'NA', 59, TV, 'no_contrata'
120, 2, 'NA', 40, CONSOLAS, 'no_contrata'
300, 3, 'NA', 21, TABLET, 'no_contrata'
150, 9, 'CA', 42, TABLET, 'no_contrata'
180, 4, 'SA', 63, SMARTPHONE, 'contrata'
180, 1, 'NA', 63, SMARTPHONE, 'no_contrata'
60, 9, 'CA', 56, TABLET, 'no_contrata'
